State,County,Name,Total Households,Households!With an Internet Subscription
05,049,"Fulton County, Arkansas",4808,3347
05,051,"Garland County, Arkansas",43762,36416
05,053,"Grant County, Arkansas",6955,5968
05,055,"Greene County, Arkansas",17926,15331
05,057,"Hempstead County, Arkansas",7454,5686
05,059,"Hot Spring County, Arkansas",12101,9411
05,061,"Howard County, Arkansas",5169,3984
05,063,"Independence County, Arkansas",14515,10850
05,065,"Izard County, Arkansas",5027,3607
05,067,"Jackson County, Arkansas",6094,4725
05,069,"Jefferson County, Arkansas",24334,19129
05,071,"Johnson County, Arkansas",10047,7114
05,073,"Lafayette County, Arkansas",2564,1749
05,075,"Lawrence County, Arkansas",6437,5297
05,077,"Lee County, Arkansas",2641,2135
05,079,"Lincoln County, Arkansas",3518,2218
05,081,"Little River County, Arkansas",4790,3779
05,083,"Logan County, Arkansas",8484,6706
05,085,"Lonoke County, Arkansas",27817,24618
05,087,"Madison County, Arkansas",6381,5669
05,089,"Marion County, Arkansas",7296,6433
05,091,"Miller County, Arkansas",16311,13415
05,093,"Mississippi County, Arkansas",15381,12726
05,095,"Monroe County, Arkansas",2819,2139
05,097,"Montgomery County, Arkansas",3752,2886
05,099,"Nevada County, Arkansas",3402,2335
05,101,"Newton County, Arkansas",3049,2446
05,103,"Ouachita County, Arkansas",8590,6894
05,105,"Perry County, Arkansas",3840,3119
05,107,"Phillips County, Arkansas",6179,4894
05,109,"Pike County, Arkansas",4120,3208
05,111,"Poinsett County, Arkansas",9031,7208
05,113,"Polk County, Arkansas",7884,6297
05,115,"Pope County, Arkansas",24073,20068
05,117,"Prairie County, Arkansas",3261,2369
05,119,"Pulaski County, Arkansas",169453,148526
05,121,"Randolph County, Arkansas",7071,5458
05,123,"St. Francis County, Arkansas",7881,6397
05,125,"Saline County, Arkansas",49589,43622
05,127,"Scott County, Arkansas",3927,2946
05,129,"Searcy County, Arkansas",3052,2308
05,131,"Sebastian County, Arkansas",51951,43562
05,133,"Sevier County, Arkansas",5697,4484
05,135,"Sharp County, Arkansas",6810,5141
05,137,"Stone County, Arkansas",4962,3538
05,139,"Union County, Arkansas",15125,12352
05,141,"Van Buren County, Arkansas",7115,5709
05,143,"Washington County, Arkansas",95467,85082
05,145,"White County, Arkansas",28945,24814
05,147,"Woodruff County, Arkansas",2753,1720
05,149,"Yell County, Arkansas",8053,6290
06,001,"Alameda County, California",593117,555115
06,003,"Alpine County, California",473,431
06,005,"Amador County, California",16066,14216
06,007,"Butte County, California",82345,74862
06,009,"Calaveras County, California",17897,15363
06,011,"Colusa County, California",7466,6219
06,013,"Contra Costa County, California",411662,392831
06,015,"Del Norte County, California",9621,8683
06,017,"El Dorado County, California",75719,69986
06,019,"Fresno County, California",322163,281333
06,021,"Glenn County, California",9763,8839
06,023,"Humboldt County, California",54878,49737
06,025,"Imperial County, California",48844,43161
06,027,"Inyo County, California",7923,6555
06,029,"Kern County, California",281416,253013
06,031,"Kings County, California",43736,38432
06,033,"Lake County, California",26364,22553
06,035,"Lassen County, California",9060,7942
06,037,"Los Angeles County, California",3390254,3112004
06,039,"Madera County, California",44513,40176
06,041,"Marin County, California",103201,98192
06,043,"Mariposa County, California",7515,6414
06,045,"Mendocino County, California",34570,30180
06,047,"Merced County, California",84605,74592
06,049,"Modoc County, California",3264,2712
06,051,"Mono County, California",5521,5029
06,053,"Monterey County, California",132046,123033
06,055,"Napa County, California",49663,46256
06,057,"Nevada County, California",41873,38523
06,059,"Orange County, California",1074654,1015408
06,061,"Placer County, California",155422,145637
06,063,"Plumas County, California",8055,6734
06,065,"Riverside County, California",762234,707310
06,067,"Sacramento County, California",568223,530956
06,069,"San Benito County, California",20188,19054
06,071,"San Bernardino County, California",668004,616126
06,073,"San Diego County, California",1159822,1094197
06,075,"San Francisco County, California",362650,335181
06,077,"San Joaquin County, California",241373,220639
06,079,"San Luis Obispo County, California",108897,100786
06,081,"San Mateo County, California",264424,252119
06,083,"Santa Barbara County, California",148960,137458
06,085,"Santa Clara County, California",654467,623313
06,087,"Santa Cruz County, California",96873,90805
06,089,"Shasta County, California",71473,64184
06,091,"Sierra County, California",1206,893
06,093,"Siskiyou County, California",18907,16431
06,095,"Solano County, California",155800,145427
06,097,"Sonoma County, California",190498,179555
06,099,"Stanislaus County, California",176457,160792
06,101,"Sutter County, California",33240,29450
06,103,"Tehama County, California",24526,21169
06,105,"Trinity County, California",5373,4263
06,107,"Tulare County, California",142026,124905
06,109,"Tuolumne County, California",22809,20168
06,111,"Ventura County, California",278045,259103
06,113,"Yolo County, California",76640,70344
06,115,"Yuba County, California",28063,25700
08,001,"Adams County, Colorado",184964,170596
08,003,"Alamosa County, Colorado",6570,5923
08,005,"Arapahoe County, Colorado",253890,239525
08,007,"Archuleta County, Colorado",5904,5288
08,009,"Baca County, Colorado",1593,1315
08,011,"Bent County, Colorado",1875,1563
08,013,"Boulder County, Colorado",135230,128524
08,014,"Broomfield County, Colorado",30921,29703
08,015,"Chaffee County, Colorado",9195,7971
08,017,"Cheyenne County, Colorado",751,667
08,019,"Clear Creek County, Colorado",4512,4206
08,021,"Conejos County, Colorado",3112,2505
08,023,"Costilla County, Colorado",1574,1314
08,025,"Crowley County, Colorado",1333,1084
08,027,"Custer County, Colorado",2448,1969
08,029,"Delta County, Colorado",12648,10211
