fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
05037,Cross County,Arkansas,11460,9559,1700
05039,Dallas County,Arkansas,4599,4094,512
05041,Desha County,Arkansas,7503,5844,978
05043,Drew County,Arkansas,10968,9557,2559
05045,Faulkner County,Arkansas,78450,73495,26043
05047,Franklin County,Arkansas,12096,10532,1592
05049,Fulton County,Arkansas,8956,7857,1408
05051,Garland County,Arkansas,72924,66284,19140
05053,Grant County,Arkansas,12723,11592,2663
05055,Greene County,Arkansas,31233,27297,5150
05057,Hempstead County,Arkansas,13230,11038,1931
05059,Hot Spring County,Arkansas,23992,21448,3787
05061,Howard County,Arkansas,8412,7519,1403
05063,Independence County,Arkansas,25363,22191,4279
05065,Izard County,Arkansas,10513,8912,1967
05067,Jackson County,Arkansas,11972,10029,1587
05069,Jefferson County,Arkansas,44949,39810,9278
05071,Johnson County,Arkansas,17320,14532,3131
05073,Lafayette County,Arkansas,4495,3669,414
05075,Lawrence County,Arkansas,10928,9003,1534
05077,Lee County,Arkansas,6045,4992,415
05079,Lincoln County,Arkansas,9801,8160,1066
05081,Little River County,Arkansas,8457,7697,1475
05083,Logan County,Arkansas,15210,13581,2365
05085,Lonoke County,Arkansas,50271,45350,10554
05087,Madison County,Arkansas,11964,10262,1536
05089,Marion County,Arkansas,13019,11237,2010
05091,Miller County,Arkansas,28871,25094,4633
05093,Mississippi County,Arkansas,25927,22196,3676
05095,Monroe County,Arkansas,4732,3948,740
05097,Montgomery County,Arkansas,6506,5698,1096
05099,Nevada County,Arkansas,5604,5050,654
05101,Newton County,Arkansas,5227,4466,745
05103,Ouachita County,Arkansas,15661,13919,2364
05105,Perry County,Arkansas,7238,6637,1240
05107,Phillips County,Arkansas,10432,8621,1516
05109,Pike County,Arkansas,7091,6177,1387
05111,Poinsett County,Arkansas,15455,12726,1843
05113,Polk County,Arkansas,13545,11836,2330
05115,Pope County,Arkansas,41500,35681,10224
05117,Prairie County,Arkansas,5932,5097,991
05119,Pulaski County,Arkansas,270517,248772,101068
05121,Randolph County,Arkansas,12777,10995,1850
05123,St. Francis County,Arkansas,16143,13832,2083
05125,Saline County,Arkansas,87117,80714,24828
05127,Scott County,Arkansas,6908,5843,748
05129,Searcy County,Arkansas,5742,4596,786
05131,Sebastian County,Arkansas,86433,73623,21075
05133,Sevier County,Arkansas,9598,6962,1049
05135,Sharp County,Arkansas,12751,10884,1521
05137,Stone County,Arkansas,9140,7861,1406
05139,Union County,Arkansas,26206,23050,4958
05141,Van Buren County,Arkansas,11888,10275,1876
05143,Washington County,Arkansas,154416,134748,53450
05145,White County,Arkansas,50957,44204,10091
05147,Woodruff County,Arkansas,4361,3616,693
05149,Yell County,Arkansas,13759,11214,1970
06001,Alameda County,California,1189902,1057821,612435
06003,Alpine County,California,1178,1134,496
06005,Amador County,California,32504,29568,7295
