fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
05047,Franklin County,Arkansas,74.0,26.0
05049,Fulton County,Arkansas,84.7,15.3
05051,Garland County,Arkansas,69.2,30.8
05053,Grant County,Arkansas,79.5,20.5
05055,Greene County,Arkansas,65.1,34.9
05057,Hempstead County,Arkansas,69.6,30.4
05059,Hot Spring County,Arkansas,77.4,22.6
05061,Howard County,Arkansas,71.2,28.8
05063,Independence County,Arkansas,67.6,32.4
05065,Izard County,Arkansas,74.7,25.3
05067,Jackson County,Arkansas,65.3,34.7
05069,Jefferson County,Arkansas,63.2,36.8
05071,Johnson County,Arkansas,71.7,28.3
05073,Lafayette County,Arkansas,77.2,22.8
05075,Lawrence County,Arkansas,68.2,31.8
05077,Lee County,Arkansas,61.2,38.8
05079,Lincoln County,Arkansas,78.4,21.6
05081,Little River County,Arkansas,80.0,20.0
05083,Logan County,Arkansas,76.7,23.3
05085,Lonoke County,Arkansas,74.4,25.6
05087,Madison County,Arkansas,79.0,21.0
05089,Marion County,Arkansas,83.5,16.5
05091,Miller County,Arkansas,65.3,34.7
05093,Mississippi County,Arkansas,59.4,40.6
05095,Monroe County,Arkansas,65.7,34.3
05097,Montgomery County,Arkansas,78.9,21.1
05099,Nevada County,Arkansas,65.9,34.1
05101,Newton County,Arkansas,72.4,27.6
05103,Ouachita County,Arkansas,71.2,28.8
05105,Perry County,Arkansas,77.4,22.6
05107,Phillips County,Arkansas,54.0,46.0
05109,Pike County,Arkansas,75.9,24.1
05111,Poinsett County,Arkansas,63.7,36.3
05113,Polk County,Arkansas,82.2,17.8
05115,Pope County,Arkansas,71.2,28.8
05117,Prairie County,Arkansas,76.1,23.9
05119,Pulaski County,Arkansas,57.7,42.3
05121,Randolph County,Arkansas,73.2,26.8
05123,St. Francis County,Arkansas,55.2,44.8
05125,Saline County,Arkansas,76.4,23.6
05127,Scott County,Arkansas,73.9,26.1
05129,Searcy County,Arkansas,75.1,24.9
05131,Sebastian County,Arkansas,61.2,38.8
05133,Sevier County,Arkansas,65.3,34.7
05135,Sharp County,Arkansas,79.6,20.4
05137,Stone County,Arkansas,75.6,24.4
05139,Union County,Arkansas,72.9,27.1
05141,Van Buren County,Arkansas,78.0,22.0
05143,Washington County,Arkansas,55.6,44.4
05145,White County,Arkansas,68.2,31.8
05147,Woodruff County,Arkansas,65.7,34.3
05149,Yell County,Arkansas,67.5,32.5
06001,Alameda County,California,54.1,45.9
06003,Alpine County,California,81.0,19.0
06005,Amador County,California,80.1,19.9
06007,Butte County,California,58.3,41.7
06009,Calaveras County,California,84.4,15.6
06011,Colusa County,California,62.2,37.8
06013,Contra Costa County,California,67.7,32.3
06015,Del Norte County,California,71.2,28.8
06017,El Dorado County,California,76.4,23.6
06019,Fresno County,California,55.4,44.6
06021,Glenn County,California,63.1,36.9
06023,Humboldt County,California,56.3,43.7
06025,Imperial County,California,56.8,43.2
06027,Inyo County,California,67.1,32.9
06029,Kern County,California,59.8,40.2
06031,Kings County,California,54.8,45.2
06033,Lake County,California,70.9,29.1
06035,Lassen County,California,68.2,31.8
06037,Los Angeles County,California,46.1,53.9
06039,Madera County,California,65.5,34.5
06041,Marin County,California,63.9,36.1
06043,Mariposa County,California,74.7,25.3
06045,Mendocino County,California,60.9,39.1
06047,Merced County,California,53.3,46.7
06049,Modoc County,California,77.3,22.7
06051,Mono County,California,69.2,30.8
06053,Monterey County,California,52.3,47.7
06055,Napa County,California,64.4,35.6
06057,Nevada County,California,74.4,25.6
06059,Orange County,California,56.4,43.6
06061,Placer County,California,74.3,25.7
06063,Plumas County,California,74.8,25.2
06065,Riverside County,California,68.9,31.1
06067,Sacramento County,California,58.6,41.4
