fips_code,county_name,state_name,households,households_with_internet
05077,Lee County,Arkansas,2641,2135
05079,Lincoln County,Arkansas,3518,2218
05081,Little River County,Arkansas,4790,3779
05083,Logan County,Arkansas,8484,6706
05085,Lonoke County,Arkansas,27817,24618
05087,Madison County,Arkansas,6381,5669
05089,Marion County,Arkansas,7296,6433
05091,Miller County,Arkansas,16311,13415
05093,Mississippi County,Arkansas,15381,12726
05095,Monroe County,Arkansas,2819,2139
05097,Montgomery County,Arkansas,3752,2886
05099,Nevada County,Arkansas,3402,2335
05101,Newton County,Arkansas,3049,2446
05103,Ouachita County,Arkansas,8590,6894
05105,Perry County,Arkansas,3840,3119
05107,Phillips County,Arkansas,6179,4894
05109,Pike County,Arkansas,4120,3208
05111,Poinsett County,Arkansas,9031,7208
05113,Polk County,Arkansas,7884,6297
05115,Pope County,Arkansas,24073,20068
05117,Prairie County,Arkansas,3261,2369
05119,Pulaski County,Arkansas,169453,148526
05121,Randolph County,Arkansas,7071,5458
05123,St. Francis County,Arkansas,7881,6397
05125,Saline County,Arkansas,49589,43622
05127,Scott County,Arkansas,3927,2946
05129,Searcy County,Arkansas,3052,2308
05131,Sebastian County,Arkansas,51951,43562
05133,Sevier County,Arkansas,5697,4484
05135,Sharp County,Arkansas,6810,5141
05137,Stone County,Arkansas,4962,3538
05139,Union County,Arkansas,15125,12352
05141,Van Buren County,Arkansas,7115,5709
05143,Washington County,Arkansas,95467,85082
05145,White County,Arkansas,28945,24814
05147,Woodruff County,Arkansas,2753,1720
05149,Yell County,Arkansas,8053,6290
06001,Alameda County,California,593117,555115
06003,Alpine County,California,473,431
06005,Amador County,California,16066,14216
06007,Butte County,California,82345,74862
06009,Calaveras County,California,17897,15363
06011,Colusa County,California,7466,6219
06013,Contra Costa County,California,411662,392831
06015,Del Norte County,California,9621,8683
06017,El Dorado County,California,75719,69986
06019,Fresno County,California,322163,281333
06021,Glenn County,California,9763,8839
06023,Humboldt County,California,54878,49737
06025,Imperial County,California,48844,43161
06027,Inyo County,California,7923,6555
06029,Kern County,California,281416,253013
06031,Kings County,California,43736,38432
06033,Lake County,California,26364,22553
06035,Lassen County,California,9060,7942
06037,Los Angeles County,California,3390254,3112004
06039,Madera County,California,44513,40176
06041,Marin County,California,103201,98192
06043,Mariposa County,California,7515,6414
06045,Mendocino County,California,34570,30180
06047,Merced County,California,84605,74592
06049,Modoc County,California,3264,2712
06051,Mono County,California,5521,5029
06053,Monterey County,California,132046,123033
06055,Napa County,California,49663,46256
06057,Nevada County,California,41873,38523
06059,Orange County,California,1074654,1015408
06061,Placer County,California,155422,145637
06063,Plumas County,California,8055,6734
06065,Riverside County,California,762234,707310
06067,Sacramento County,California,568223,530956
06069,San Benito County,California,20188,19054
06071,San Bernardino County,California,668004,616126
06073,San Diego County,California,1159822,1094197
06075,San Francisco County,California,362650,335181
06077,San Joaquin County,California,241373,220639
06079,San Luis Obispo County,California,108897,100786
06081,San Mateo County,California,264424,252119
06083,Santa Barbara County,California,148960,137458
06085,Santa Clara County,California,654467,623313
06087,Santa Cruz County,California,96873,90805
