fips_code,county_name,state_name,latitude,longitude
01001,Autauga County,Alabama,32.53492727525607,-86.64273442675476
01003,Baldwin County,Alabama,30.727605426278885,-87.72255994592025
01005,Barbour County,Alabama,31.869595430556192,-85.39323505553921
01007,Bibb County,Alabama,32.9986270272255,-87.12646681645651
01009,Blount County,Alabama,33.98081573354594,-86.5674800921982
01011,Bullock County,Alabama,32.10051617515837,-85.71566540222558
01013,Butler County,Alabama,31.752435920930587,-86.6802705944692
01015,Calhoun County,Alabama,33.771407134516515,-85.82603199893873
01017,Chambers County,Alabama,32.91433074056267,-85.39202201041202
01019,Cherokee County,Alabama,34.175910101161726,-85.60379756791806
01021,Chilton County,Alabama,32.84787029676901,-86.71876817691776
01023,Choctaw County,Alabama,32.01977681116097,-88.26317321902226
01025,Clarke County,Alabama,31.676594365199247,-87.83084302414905
01027,Clay County,Alabama,33.26902442112119,-85.86053117508656
01029,Cleburne County,Alabama,33.67451090497394,-85.51882098244232
01031,Coffee County,Alabama,31.40265772960832,-85.98817380695934
01033,Colbert County,Alabama,34.70045879927198,-87.80502112864178
01035,Conecuh County,Alabama,31.429214056954905,-86.99364043548422
01037,Coosa County,Alabama,32.93626048742867,-86.24766921354183
01039,Covington County,Alabama,31.248492491954465,-86.4512638382709
01041,Crenshaw County,Alabama,31.731540290203068,-86.31356694403553
01043,Cullman County,Alabama,34.13199560677352,-86.86761206558988
01045,Dale County,Alabama,31.43181896545337,-85.61104897691365
01047,Dallas County,Alabama,32.3259584189334,-87.10648320931413
01049,DeKalb County,Alabama,34.45979859449094,-85.80412876763168
01051,Elmore County,Alabama,32.59662584431652,-86.1491360544763
01053,Escambia County,Alabama,31.12613355037151,-87.16158187503181
01055,Etowah County,Alabama,34.04527686055144,-86.03471727405356
01057,Fayette County,Alabama,33.72120598944884,-87.73882917636378
01059,Franklin County,Alabama,34.44168284238212,-87.84374613210444
01061,Geneva County,Alabama,31.0950457723879,-85.83908907955096
01063,Greene County,Alabama,32.85306165498415,-87.9522714168748
01065,Hale County,Alabama,32.762722009237415,-87.62915308006073
01067,Henry County,Alabama,31.51474833241569,-85.24138750546115
01069,Houston County,Alabama,31.15320945354656,-85.30253583124914
01071,Jackson County,Alabama,34.779461960018246,-85.99935238948197
01073,Jefferson County,Alabama,33.55432130246521,-86.89640081711333
01075,Lamar County,Alabama,33.77913353236229,-88.09695685636565
01077,Lauderdale County,Alabama,34.901410552582064,-87.6540650881971
01079,Lawrence County,Alabama,34.52170244078124,-87.31103276805553
01081,Lee County,Alabama,32.601136380357644,-85.35549557710912
01083,Limestone County,Alabama,34.81007991295747,-86.9814265692659
01085,Lowndes County,Alabama,32.15475133643851,-86.65007314467351
01087,Macon County,Alabama,32.38592935402728,-85.6926677150458
01089,Madison County,Alabama,34.76307099055595,-86.55024603875933
01091,Marengo County,Alabama,32.247668012290895,-87.78950405042126
01093,Marion County,Alabama,34.1365502522333,-87.88714547242863
01095,Marshall County,Alabama,34.366960684994524,-86.30664931396376
01097,Mobile County,Alabama,30.78780934108646,-88.20581494152172
01099,Monroe County,Alabama,31.570840642827328,-87.36546186855047
01101,Montgomery County,Alabama,32.220240962699954,-86.2076002944217
01103,Morgan County,Alabama,34.4534309161247,-86.85293182664331
01105,Perry County,Alabama,32.638464528474735,-87.29441402092941
01107,Pickens County,Alabama,33.28077992844012,-88.08870201099694
01109,Pike County,Alabama,31.802730322347106,-85.94093898047527
01111,Randolph County,Alabama,33.29378591118139,-85.45908215422818
01113,Russell County,Alabama,32.28837028575913,-85.1849339763763
01115,St. Clair County,Alabama,33.715741858955035,-86.3145997896258
01117,Shelby County,Alabama,33.26427942612558,-86.66067162680295
01119,Sumter County,Alabama,32.591028460823395,-88.19883980714248
01121,Talladega County,Alabama,33.3800756993842,-86.16586688240108
01123,Tallapoosa County,Alabama,32.86236242564079,-85.79753016448618
01125,Tuscaloosa County,Alabama,33.28956232976029,-87.52511360903804
01127,Walker County,Alabama,33.80332451946738,-87.2973320873929
01129,Washington County,Alabama,31.40760311926274,-88.20792856968059
01131,Wilcox County,Alabama,31.989257780009975,-87.30818860732911
01133,Winston County,Alabama,34.149206672954016,-87.37368980502318
02013,Aleutians East Borough,Alaska,55.36701483804713,-161.98075194723486
02016,Aleutians West Census Area,Alaska,52.79840641735421,-106.54539785152903
02020,Anchorage Municipality,Alaska,61.14975652646042,-149.10815610090862
02050,Bethel Census Area,Alaska,60.91317370532101,-159.8185092257587
02060,Bristol Bay Borough,Alaska,58.74387040364267,-156.69995928863327
02063,Chugach Census Area,Alaska,60.72336745922988,-145.7711482113849
02066,Copper River Census Area,Alaska,61.88343297470561,-143.96804935110734
02068,Denali Borough,Alaska,63.67136909876346,-150.01184360129596
02070,Dillingham Census Area,Alaska,59.800289954260435,-158.23456645153072
02090,Fairbanks North Star Borough,Alaska,64.80775019103393,-146.5654548595111
02100,Haines Borough,Alaska,59.120028232416,-135.5002761571729
02105,Hoonah-Angoon Census Area,Alaska,58.28718975405681,-135.64025880758197
02110,Juneau City and Borough,Alaska,58.45461263004152,-134.17321508652276
02122,Kenai Peninsula Borough,Alaska,60.26551800715341,-151.56519541730484
02130,Ketchikan Gateway Borough,Alaska,55.585251646724224,-130.92809323350832
02150,Kodiak Island Borough,Alaska,57.67906318723013,-153.7990148934779
02158,Kusilvak Census Area,Alaska,62.1546657668918,-163.38119160800807
02164,Lake and Peninsula Borough,Alaska,58.65491720458001,-156.18891807599928
02170,Matanuska-Susitna Borough,Alaska,62.315967623904555,-149.5729111255543
