fips_code,county_name,state_name,poverty_rate
05087,Madison County,Arkansas,0.14800000000000002
05089,Marion County,Arkansas,0.174
05091,Miller County,Arkansas,0.215
05093,Mississippi County,Arkansas,0.249
05095,Monroe County,Arkansas,0.263
05097,Montgomery County,Arkansas,0.188
05099,Nevada County,Arkansas,0.23199999999999998
05101,Newton County,Arkansas,0.188
05103,Ouachita County,Arkansas,0.188
05105,Perry County,Arkansas,0.141
05107,Phillips County,Arkansas,0.342
05109,Pike County,Arkansas,0.182
05111,Poinsett County,Arkansas,0.191
05113,Polk County,Arkansas,0.188
05115,Pope County,Arkansas,0.135
05117,Prairie County,Arkansas,0.154
05119,Pulaski County,Arkansas,0.157
05121,Randolph County,Arkansas,0.185
05123,St. Francis County,Arkansas,0.34299999999999997
05125,Saline County,Arkansas,0.09300000000000001
05127,Scott County,Arkansas,0.195
05129,Searcy County,Arkansas,0.20199999999999999
05131,Sebastian County,Arkansas,0.128
05133,Sevier County,Arkansas,0.187
05135,Sharp County,Arkansas,0.19699999999999998
05137,Stone County,Arkansas,0.177
05139,Union County,Arkansas,0.19
05141,Van Buren County,Arkansas,0.165
05143,Washington County,Arkansas,0.135
05145,White County,Arkansas,0.157
05147,Woodruff County,Arkansas,0.244
05149,Yell County,Arkansas,0.165
06001,Alameda County,California,0.095
06003,Alpine County,California,0.156
06005,Amador County,California,0.11699999999999999
06007,Butte County,California,0.19899999999999998
06009,Calaveras County,California,0.122
06011,Colusa County,California,0.12300000000000001
06013,Contra Costa County,California,0.083
06015,Del Norte County,California,0.138
06017,El Dorado County,California,0.07
06019,Fresno County,California,0.177
06021,Glenn County,California,0.135
06023,Humboldt County,California,0.16699999999999998
06025,Imperial County,California,0.17300000000000001
06027,Inyo County,California,0.11800000000000001
06029,Kern County,California,0.19
06031,Kings County,California,0.175
06033,Lake County,California,0.17600000000000002
06035,Lassen County,California,0.171
06037,Los Angeles County,California,0.13699999999999998
06039,Madera County,California,0.18
06041,Marin County,California,0.087
06043,Mariposa County,California,0.17300000000000001
06045,Mendocino County,California,0.139
06047,Merced County,California,0.18600000000000003
06049,Modoc County,California,0.201
06051,Mono County,California,0.078
06053,Monterey County,California,0.14
06055,Napa County,California,0.08900000000000001
06057,Nevada County,California,0.109
06059,Orange County,California,0.092
06061,Placer County,California,0.065
06063,Plumas County,California,0.127
06065,Riverside County,California,0.113
06067,Sacramento County,California,0.11900000000000001
06069,San Benito County,California,0.091
06071,San Bernardino County,California,0.132
06073,San Diego County,California,0.10099999999999999
06075,San Francisco County,California,0.11900000000000001
06077,San Joaquin County,California,0.126
06079,San Luis Obispo County,California,0.128
06081,San Mateo County,California,0.073
06083,Santa Barbara County,California,0.149
06085,Santa Clara County,California,0.076
06087,Santa Cruz County,California,0.126
06089,Shasta County,California,0.132
06091,Sierra County,California,0.126
06093,Siskiyou County,California,0.171
06095,Solano County,California,0.10300000000000001
06097,Sonoma County,California,0.091
06099,Stanislaus County,California,0.126
06101,Sutter County,California,0.153
06103,Tehama County,California,0.15
06105,Trinity County,California,0.20800000000000002
06107,Tulare County,California,0.175
06109,Tuolumne County,California,0.105
06111,Ventura County,California,0.098
06113,Yolo County,California,0.153
06115,Yuba County,California,0.154
08001,Adams County,Colorado,0.09699999999999999
08003,Alamosa County,Colorado,0.217
08005,Arapahoe County,Colorado,0.10099999999999999
08007,Archuleta County,Colorado,0.11199999999999999
08009,Baca County,Colorado,0.20199999999999999
08011,Bent County,Colorado,0.28600000000000003
08013,Boulder County,Colorado,0.11
08014,Broomfield County,Colorado,0.051
08015,Chaffee County,Colorado,0.094
08017,Cheyenne County,Colorado,0.133
08019,Clear Creek County,Colorado,0.077
08021,Conejos County,Colorado,0.18100000000000002
08023,Costilla County,Colorado,0.226
08025,Crowley County,Colorado,0.375
08027,Custer County,Colorado,0.11800000000000001
08029,Delta County,Colorado,0.129
08031,Denver County,Colorado,0.105
08033,Dolores County,Colorado,0.135
08035,Douglas County,Colorado,0.037000000000000005
08037,Eagle County,Colorado,0.066
08039,Elbert County,Colorado,0.057999999999999996
08041,El Paso County,Colorado,0.073
08043,Fremont County,Colorado,0.184
08045,Garfield County,Colorado,0.091
08047,Gilpin County,Colorado,0.07200000000000001
08049,Grand County,Colorado,0.08199999999999999
08051,Gunnison County,Colorado,0.107
08053,Hinsdale County,Colorado,0.053
08055,Huerfano County,Colorado,0.183
08057,Jackson County,Colorado,0.133
08059,Jefferson County,Colorado,0.07400000000000001
08061,Kiowa County,Colorado,0.136
08063,Kit Carson County,Colorado,0.12300000000000001
08065,Lake County,Colorado,0.114
08067,La Plata County,Colorado,0.115
08069,Larimer County,Colorado,0.102
08071,Las Animas County,Colorado,0.171
08073,Lincoln County,Colorado,0.14800000000000002
08075,Logan County,Colorado,0.14
08077,Mesa County,Colorado,0.11900000000000001
08079,Mineral County,Colorado,0.09699999999999999
08081,Moffat County,Colorado,0.10800000000000001
08083,Montezuma County,Colorado,0.14
08085,Montrose County,Colorado,0.107
08087,Morgan County,Colorado,0.125
08089,Otero County,Colorado,0.201
08091,Ouray County,Colorado,0.07400000000000001
08093,Park County,Colorado,0.081
08095,Phillips County,Colorado,0.121
08097,Pitkin County,Colorado,0.064
08099,Prowers County,Colorado,0.201
08101,Pueblo County,Colorado,0.135
08103,Rio Blanco County,Colorado,0.10800000000000001
08105,Rio Grande County,Colorado,0.17800000000000002
08107,Routt County,Colorado,0.055999999999999994
08109,Saguache County,Colorado,0.20600000000000002
08111,San Juan County,Colorado,0.12300000000000001
08113,San Miguel County,Colorado,0.079
08115,Sedgwick County,Colorado,0.147
08117,Summit County,Colorado,0.073
08119,Teller County,Colorado,0.083
08121,Washington County,Colorado,0.142
08123,Weld County,Colorado,0.091
08125,Yuma County,Colorado,0.127
09110,Capitol Planning Region,Connecticut,0.098
09120,Greater Bridgeport Planning Region,Connecticut,0.113
09130,Lower Connecticut River Valley Planning Region,Connecticut,0.071
09140,Naugatuck Valley Planning Region,Connecticut,0.114
09150,Northeastern Connecticut Planning Region,Connecticut,0.076
09160,Northwest Hills Planning Region,Connecticut,0.084
09170,South Central Connecticut Planning Region,Connecticut,0.125
09180,Southeastern Connecticut Planning Region,Connecticut,0.124
09190,Western Connecticut Planning Region,Connecticut,0.08
10001,Kent County,Delaware,0.11699999999999999
10003,New Castle County,Delaware,0.109
10005,Sussex County,Delaware,0.10099999999999999
11001,District of Columbia,District of Columbia,0.152
12001,Alachua County,Florida,0.185
12003,Baker County,Florida,0.125
12005,Bay County,Florida,0.11800000000000001
12007,Bradford County,Florida,0.154
12009,Brevard County,Florida,0.10300000000000001
12011,Broward County,Florida,0.127
12013,Calhoun County,Florida,0.22899999999999998
12015,Charlotte County,Florida,0.091
12017,Citrus County,Florida,0.157
12019,Clay County,Florida,0.079
12021,Collier County,Florida,0.105
12023,Columbia County,Florida,0.17
12027,DeSoto County,Florida,0.188
12029,Dixie County,Florida,0.237
12031,Duval County,Florida,0.145
12033,Escambia County,Florida,0.14
12035,Flagler County,Florida,0.08900000000000001
12037,Franklin County,Florida,0.166
12039,Gadsden County,Florida,0.215
12041,Gilchrist County,Florida,0.135
12043,Glades County,Florida,0.16899999999999998
12045,Gulf County,Florida,0.149
12047,Hamilton County,Florida,0.21899999999999997
12049,Hardee County,Florida,0.205
12051,Hendry County,Florida,0.221
12053,Hernando County,Florida,0.121
12055,Highlands County,Florida,0.18600000000000003
12057,Hillsborough County,Florida,0.132
12059,Holmes County,Florida,0.182
12061,Indian River County,Florida,0.113
12063,Jackson County,Florida,0.20600000000000002
12065,Jefferson County,Florida,0.235
12067,Lafayette County,Florida,0.18899999999999997
12069,Lake County,Florida,0.107
12071,Lee County,Florida,0.121
12073,Leon County,Florida,0.17600000000000002
12075,Levy County,Florida,0.183
12077,Liberty County,Florida,0.20800000000000002
12079,Madison County,Florida,0.198
12081,Manatee County,Florida,0.10400000000000001
12083,Marion County,Florida,0.15
12085,Martin County,Florida,0.131
12086,Miami-Dade County,Florida,0.141
12087,Monroe County,Florida,0.1
12089,Nassau County,Florida,0.095
12091,Okaloosa County,Florida,0.10099999999999999
12093,Okeechobee County,Florida,0.17
12095,Orange County,Florida,0.124
12097,Osceola County,Florida,0.109
12099,Palm Beach County,Florida,0.10800000000000001
12101,Pasco County,Florida,0.105
12103,Pinellas County,Florida,0.113
12105,Polk County,Florida,0.13
12107,Putnam County,Florida,0.21100000000000002
12109,St. Johns County,Florida,0.061
12111,St. Lucie County,Florida,0.10400000000000001
12113,Santa Rosa County,Florida,0.081
12115,Sarasota County,Florida,0.095
12117,Seminole County,Florida,0.092
12119,Sumter County,Florida,0.09699999999999999
12121,Suwannee County,Florida,0.17300000000000001
12123,Taylor County,Florida,0.19699999999999998
12125,Union County,Florida,0.19399999999999998
12127,Volusia County,Florida,0.11900000000000001
12129,Wakulla County,Florida,0.10400000000000001
12131,Walton County,Florida,0.109
12133,Washington County,Florida,0.168
13001,Appling County,Georgia,0.21100000000000002
13003,Atkinson County,Georgia,0.22399999999999998
13005,Bacon County,Georgia,0.22899999999999998
13007,Baker County,Georgia,0.262
13009,Baldwin County,Georgia,0.214
13011,Banks County,Georgia,0.122
13013,Barrow County,Georgia,0.11199999999999999
13015,Bartow County,Georgia,0.09699999999999999
13017,Ben Hill County,Georgia,0.244
13019,Berrien County,Georgia,0.188
13021,Bibb County,Georgia,0.221
13023,Bleckley County,Georgia,0.182
13025,Brantley County,Georgia,0.17800000000000002
13027,Brooks County,Georgia,0.228
13029,Bryan County,Georgia,0.08199999999999999
13031,Bulloch County,Georgia,0.237
13033,Burke County,Georgia,0.212
13035,Butts County,Georgia,0.155
13037,Calhoun County,Georgia,0.355
13039,Camden County,Georgia,0.11599999999999999
13043,Candler County,Georgia,0.215
13045,Carroll County,Georgia,0.14300000000000002
13047,Catoosa County,Georgia,0.107
13049,Charlton County,Georgia,0.262
13051,Chatham County,Georgia,0.152
13053,Chattahoochee County,Georgia,0.163
13055,Chattooga County,Georgia,0.207
13057,Cherokee County,Georgia,0.066
13059,Clarke County,Georgia,0.24100000000000002
13061,Clay County,Georgia,0.264
13063,Clayton County,Georgia,0.17300000000000001
13065,Clinch County,Georgia,0.233
13067,Cobb County,Georgia,0.08800000000000001
13069,Coffee County,Georgia,0.225
13071,Colquitt County,Georgia,0.23399999999999999
13073,Columbia County,Georgia,0.068
13075,Cook County,Georgia,0.19899999999999998
13077,Coweta County,Georgia,0.099
13079,Crawford County,Georgia,0.158
13081,Crisp County,Georgia,0.26
13083,Dade County,Georgia,0.141
13085,Dawson County,Georgia,0.08
13087,Decatur County,Georgia,0.223
13089,DeKalb County,Georgia,0.133
13091,Dodge County,Georgia,0.235
13093,Dooly County,Georgia,0.225
13095,Dougherty County,Georgia,0.264
13097,Douglas County,Georgia,0.11900000000000001
13099,Early County,Georgia,0.255
